,name,product,kind,date,month,represent,region
709, 티앤알바이오팹,기초 의약물질 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제",2018-11-28,12월,윤원수,경기도
710, 나라소프트,소프트웨어 개발 및 공급업,"체육용솔루션(NS트루골프, NS테니스, NS축구, NS승마 등)",2018-11-23,12월,김호상,서울특별시
711, 아시아나IDT,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션",2018-11-23,12월,김응철,서울특별시
712, 디알젬,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외",2018-11-22,12월,박정병,경기도
713, 싸이토젠,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼,2018-11-22,12월,사철기..,서울특별시
714, 아주IB투자,기타 금융업,,2018-11-21,12월,김지원,서울특별시
715, 파멥신,의약품 제조업,항체치료제,2018-11-21,12월,김정규,대전광역시
716, 디케이앤디,플라스틱제품 제조업,합성피혁 및 부직포,2018-11-20,12월,최민석,경기도
717, 퀀텀온,부동산 관련 서비스업,스마트 액세서리(보조배터리 등),2018-11-15,12월,김준성,서울특별시
718, 노바렉스,기타 식품 제조업,건강기능식품 제조,2018-11-14,12월,권석형,충청북도
719, 셀리버리,자연과학 및 공학 연구개발업,바이오의약품[iCP-Parkin(파킨슨병 치료제)]및 연구용 시약,2018-11-09,12월,조대웅,서울특별시
720, 대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2018-11-06,12월,이준각,경기도
721, 노바텍,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",2018-11-02,12월,오춘택,경기도
722, 엘앤씨바이오,의약품 제조업,"인체조직(피부, 뼈, 연골)",2018-11-01,12월,이환철,경기도
723, 네온테크,특수 목적용 기계 제조업,기업인수합병,2018-10-31,12월,황성일,경기도
724, 로보티즈,특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",2018-10-26,12월,김병수,서울특별시
725, 옵티팜,의료용품 및 기타 의약 관련제품 제조업,"옵티케어,메디피그 등",2018-10-26,12월,김현일,충청북도
726, 에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지",2018-10-15,12월,홍성민..,경기도
727, 세아제강,1차 철강 제조업,강관,2018-10-05,12월,이휘령..,서울특별시
728, 나우IB,기타 금융업,"투자조합, PEF 결성 및 투자",2018-10-04,12월,이승원,서울특별시
729, 푸드나무,무점포 소매업,,2018-10-04,12월,김영문,서울특별시
730, 하나제약,의약품 제조업,완제의약품,2018-10-02,12월,최태홍,경기도
731, 크리스에프앤씨,봉제의복 제조업,골프웨어,2018-10-01,12월,우진석..,서울특별시
732, 더블유에스아이,생활용품 도매업,기업인수합병,2018-09-21,12월,이윤석,서울특별시
733, 한국비티비,의료용 기기 제조업,의료기기 및 미용기기,2018-09-21,12월,최완규,경기도
734, 우진아이엔에스,건물설비 설치 공사업,반도체/디스플레이 코팅덕트,2018-09-14,12월,홍경모,서울특별시
