,name,code,product,kind,date,month,represent,region
1548, CJ제일제당,097950,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,손경식..,서울특별시
1549, 바이오톡스텍,086040,자연과학 및 공학 연구개발업,"안전성평가, 유효성평가",2007-09-21,12월,강종구,충청북도
1550, 팬오션,028670,해상 운송업,"해상화물운송(외항,운수보관)",2007-09-21,12월,김홍국..,서울특별시
1551, 옴니시스템,057540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","전자식전력량계,설비미터,원격검침시스템",2007-09-19,12월,박혜린,경기도
1552, 푸른기술,094940,컴퓨터 및 주변장치 제조업,"금융자동화기기모듈,역무자동화기기모듈,특수단말시스템",2007-09-14,12월,함현철,서울특별시
1553, 웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",이동통신중계기용전력증폭기,2007-09-12,12월,박천석..,경기도
1554, HJ중공업,097230,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31,12월,김완석..,부산광역시
1555, 빅솔론,093190,컴퓨터 및 주변장치 제조업,"POS용프린터,프린팅메카니즘",2007-08-20,12월,노현철..,경기도
1556, JW홀딩스,096760,기타 금융업,의약품 수출입업,2007-07-31,12월,이경하..,경기도
1557, S&K폴리텍,091340,전자부품 제조업,고밀도폴리우레탄폼시트,2007-07-30,12월,강원형,경기도
1558, SK이노베이션,096770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,12월,박상규,서울특별시
1559, 율호,072770,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",무선인터넷플랫폼,2007-07-25,12월,이정남..,서울특별시
1560, 갤럭시아머니트리,094480,소프트웨어 개발 및 공급업,전자결제,2007-07-20,12월,신동훈,서울특별시
1561, 에코프로,086520,기타 금융업,"환경소재,화학필터,이차전지소재등",2007-07-20,12월,송호준,충청북도
1562, 대산F&B,065150,음·식료품 및 담배 도매업,"외식프랜차이즈사업,육류가공,식자재유통등",2007-07-18,12월,한상우..,서울특별시
1563, 컴투스,078340,소프트웨어 개발 및 공급업,모바일게임,2007-07-06,12월,Nam..,서울특별시
